epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.915,2.16052,2.06506,1.27529,0.8334,0.29688,0.5088,0.19334,1.99338,2.2206,1.17249,0.000657534,0.000657534,0.000657534
2,494.213,2.05461,1.41294,1.22329,0.65211,0.4463,0.50129,0.2184,1.95923,1.78409,1.18857,0.00119311,0.00119311,0.00119311
3,668.015,2.03449,1.33646,1.20673,0.59128,0.57848,0.58436,0.25938,1.89645,1.32643,1.18511,0.00159668,0.00159668,0.00159668
4,921.575,2.01178,1.29252,1.21217,0.66504,0.59646,0.64362,0.27924,1.90937,1.25859,1.17489,0.001406,0.001406,0.001406
5,1131.53,2.00349,1.28235,1.21302,0.66791,0.56637,0.61131,0.2752,1.88386,1.28838,1.17745,0.001208,0.001208,0.001208
6,1294.43,1.98218,1.19263,1.18849,0.72765,0.60942,0.67583,0.3039,1.89163,1.19302,1.17551,0.00101,0.00101,0.00101
7,1538.68,1.96748,1.17514,1.16976,0.76633,0.60082,0.67526,0.30084,1.88188,1.13456,1.17616,0.000812,0.000812,0.000812
8,1788.83,1.94763,1.1522,1.17545,0.74543,0.62904,0.6851,0.3114,1.82943,1.11351,1.16303,0.000614,0.000614,0.000614
9,2036.09,1.93764,1.14134,1.17146,0.75763,0.63962,0.71803,0.3266,1.81075,1.08599,1.14501,0.000416,0.000416,0.000416
10,2283.46,1.86876,1.07098,1.13974,0.76313,0.62375,0.71039,0.33026,1.80141,1.07688,1.13939,0.000218,0.000218,0.000218
