epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,293.089,1.83089,1.03613,1.20979,0.77592,0.63904,0.71561,0.33068,1.84554,1.09732,1.31972,0.0011882,0.0011882,0.0011882
43,300.776,1.86097,1.04485,1.22216,0.78246,0.60476,0.67833,0.32114,1.86382,1.13233,1.31435,0.0011684,0.0011684,0.0011684
44,308.665,1.86674,1.05138,1.22045,0.7661,0.63316,0.71317,0.3291,1.87463,1.10926,1.31324,0.0011486,0.0011486,0.0011486
45,317.047,1.85904,1.03788,1.2153,0.75737,0.62028,0.69834,0.30844,1.93326,1.13105,1.33855,0.0011288,0.0011288,0.0011288
46,323.506,1.86133,1.03197,1.23141,0.77925,0.59559,0.68125,0.32556,1.84071,1.15223,1.29117,0.001109,0.001109,0.001109
47,329.656,1.78382,1.00458,1.20785,0.77463,0.62669,0.68639,0.32252,1.8847,1.14472,1.32169,0.0010892,0.0010892,0.0010892
48,335.808,1.82267,1.01004,1.2049,0.7726,0.59553,0.67633,0.32651,1.8508,1.23238,1.31242,0.0010694,0.0010694,0.0010694
49,341.934,1.75536,0.97625,1.19738,0.78903,0.57827,0.67698,0.31857,1.89422,1.20998,1.31931,0.0010496,0.0010496,0.0010496
50,348.099,1.82822,1.04357,1.23205,0.77716,0.61507,0.7027,0.3309,1.87636,1.12694,1.32217,0.0010298,0.0010298,0.0010298
51,354.405,1.78288,0.99351,1.19795,0.75523,0.62036,0.67502,0.31802,1.89676,1.12252,1.34271,0.00101,0.00101,0.00101
52,360.605,1.79786,0.98623,1.19313,0.75828,0.63845,0.70574,0.32992,1.87589,1.09306,1.32148,0.0009902,0.0009902,0.0009902
53,366.743,1.76647,0.95379,1.18599,0.77344,0.63421,0.70736,0.33717,1.84179,1.07403,1.31266,0.0009704,0.0009704,0.0009704
54,372.878,1.78096,0.9775,1.21374,0.78538,0.6555,0.72523,0.33592,1.88802,1.07112,1.35057,0.0009506,0.0009506,0.0009506
55,379.064,1.76464,0.97356,1.20869,0.76367,0.6307,0.7021,0.32529,1.90778,1.08795,1.33431,0.0009308,0.0009308,0.0009308
56,385.232,1.81741,0.98582,1.21646,0.79278,0.6365,0.70527,0.32516,1.89751,1.10401,1.33578,0.000911,0.000911,0.000911
57,391.366,1.77913,0.9787,1.19687,0.782,0.59494,0.66639,0.32194,1.87371,1.24751,1.31896,0.0008912,0.0008912,0.0008912
58,397.521,1.76124,0.96825,1.18901,0.78404,0.65138,0.71719,0.32859,1.89299,1.08893,1.32823,0.0008714,0.0008714,0.0008714
59,403.68,1.76455,0.9555,1.20076,0.76293,0.65256,0.71282,0.31557,1.9544,1.08002,1.36227,0.0008516,0.0008516,0.0008516
60,409.809,1.75376,0.97833,1.20341,0.77771,0.64903,0.71864,0.323,1.92801,1.07587,1.34742,0.0008318,0.0008318,0.0008318
61,415.956,1.68445,1.28406,1.15151,0.76651,0.61493,0.68731,0.32231,1.88699,1.14345,1.34551,0.000812,0.000812,0.000812
62,422.117,1.73776,0.93458,1.18251,0.75419,0.64576,0.6898,0.32766,1.88445,1.07106,1.33288,0.0007922,0.0007922,0.0007922
63,428.285,1.72142,0.96711,1.18041,0.76321,0.61317,0.68321,0.32455,1.89899,1.15405,1.33366,0.0007724,0.0007724,0.0007724
64,434.425,1.74942,0.94047,1.18768,0.78087,0.63433,0.70625,0.32151,1.93894,1.06887,1.35215,0.0007526,0.0007526,0.0007526
65,440.573,1.74911,0.94373,1.18066,0.78275,0.6602,0.73067,0.3301,1.92416,1.02665,1.35373,0.0007328,0.0007328,0.0007328
66,446.762,1.73698,0.92288,1.18805,0.78345,0.60494,0.68695,0.32193,1.91237,1.17795,1.3414,0.000713,0.000713,0.000713
67,452.971,1.72374,0.91557,1.16612,0.78918,0.61181,0.68141,0.32148,1.91209,1.08088,1.34822,0.0006932,0.0006932,0.0006932
68,459.119,1.72403,0.9238,1.18259,0.80976,0.62081,0.69832,0.32641,1.91191,1.09007,1.3515,0.0006734,0.0006734,0.0006734
69,465.256,1.73454,0.92707,1.16987,0.78406,0.63824,0.70621,0.33289,1.90772,1.12588,1.34089,0.0006536,0.0006536,0.0006536
70,471.436,1.74604,0.93518,1.16623,0.7553,0.63875,0.6963,0.32661,1.89989,1.12626,1.34119,0.0006338,0.0006338,0.0006338
71,477.611,1.74964,0.9055,1.18524,0.76353,0.63081,0.6869,0.32303,1.91283,1.09092,1.34985,0.000614,0.000614,0.000614
72,483.786,1.72643,0.91824,1.17787,0.76935,0.61573,0.67843,0.31353,1.92886,1.15773,1.35212,0.0005942,0.0005942,0.0005942
73,489.993,1.71549,0.91592,1.1844,0.77812,0.6067,0.6787,0.31686,1.94611,1.14822,1.35105,0.0005744,0.0005744,0.0005744
74,496.159,1.69613,0.91011,1.18358,0.78563,0.62482,0.68988,0.32008,1.93532,1.11237,1.34787,0.0005546,0.0005546,0.0005546
75,502.383,1.70983,0.9128,1.15518,0.76997,0.63365,0.7026,0.32576,1.92608,1.11421,1.34624,0.0005348,0.0005348,0.0005348
76,508.514,1.72136,0.90825,1.18055,0.76742,0.62904,0.69558,0.32296,1.92157,1.10194,1.35112,0.000515,0.000515,0.000515
77,514.668,1.69829,0.88596,1.15699,0.78054,0.61493,0.68702,0.31822,1.93957,1.13766,1.36713,0.0004952,0.0004952,0.0004952
78,520.975,1.68246,0.88231,1.15988,0.79777,0.64609,0.7122,0.32494,1.94169,1.08511,1.37538,0.0004754,0.0004754,0.0004754
79,527.198,1.69702,0.8979,1.16505,0.76777,0.61552,0.68079,0.3104,1.94951,1.14645,1.36767,0.0004556,0.0004556,0.0004556
80,533.353,1.66966,0.87084,1.15673,0.78391,0.64832,0.70725,0.32666,1.92402,1.05583,1.3454,0.0004358,0.0004358,0.0004358
